1	渝00	重庆市	2884.62	7894.24	27367	4043
2	沪00	上海市	2301.91	16872.42	73297	10828
3	京00	北京市	1961.24	13777.9	70251	10378
4	川01	成都市	1404.76	5551.3	39518	5838
5	津00	天津市	1293.82	9108.83	70402	10400
6	粤01	广州市	1270.08	10604.48	83495	12334
7	冀06	保定市	1119.44	2050.3	18315	2706
8	黑01	哈尔滨市	1063.6	3665.9	34467	5092
9	苏05	苏州市	1046.6	9000	85993	12703
10	粤02	深圳市	1035.79	9510.91	91822	13564
11	豫13	南阳市	1026.3	1955.84	19057	2815
12	冀01	石家庄市	1016.38	3401	33462	4943
13	鲁13	临沂市	1003.94	2400	23906	3531
14	鄂01	武汉市	978.54	5515.76	56367	8327
15	冀04	邯郸市	917.47	2342.2	25529	3771
16	浙03	温州市	912.21	2925.57	32071	4738
17	鲁07	潍坊市	908.62	3090.9	34018	5025
18	豫16	周口市	895.32	1227.9	13715	2026
19	鲁02	青岛市	871.51	5666.19	65016	9604
20	浙01	杭州市	870.04	5945.82	68340	10095
21	豫01	郑州市	862.65	4000	46369	6850
22	苏03	徐州市	858.05	2866.93	33412	4936
23	陕01	西安市	846.78	3241.49	38280	5655
24	赣07	赣州市	836.84	1119.47	13377	1976
25	鲁17	菏泽市	828.78	1151.58	13895	2053
26	粤11	东莞市	822.02	4246.25	51656	7631
27	闽05	泉州市	812.85	3564.76	43855	6478
28	辽01	沈阳市	810.62	5017	61891	9143
29	鲁08	济宁市	808.19	2542.8	31463	4648
30	苏01	南京市	800.47	5010.36	62593	9246
31	吉01	长春市	767.71	3369.7	43893	6484
32	浙02	宁波市	760.57	5125.82	67394	9956
33	皖06	阜阳市	760	720	9474	1399
34	冀02	唐山市	757.73	4469.08	58980	8713
35	豫14	商丘市	736.25	1140	15484	2287
36	苏06	南通市	728.28	3417.88	46931	6933
37	苏09	盐城市	726.02	2266.26	31215	4611
38	豫17	驻马店市	723.07	1055.45	14597	2156
39	粤05	佛山市	719.43	5651.52	78555	11604
40	湘04	衡阳市	714.15	1420.34	19889	2938
41	冀09	沧州市	713.41	2203	30880	4562
42	闽01	福州市	711.54	3068.21	43121	6370
43	冀05	邢台市	710.41	1210.62	17041	2517
44	湘05	邵阳市	707.18	730.33	10327	1526
45	湘01	长沙市	704.41	4547.06	64551	9536
46	粤15	湛江市	699.33	1402.77	20059	2963
47	鲁06	烟台市	696.82	4358.46	62548	9240
48	鲁01	济南市	681.4	3910.8	57394	8478
49	辽02	大连市	669.04	5158.1	77097	11389
50	桂01	南宁市	666.16	1800.43	27027	3992
51	赣11	上饶市	657.97	901	13694	2023
52	豫03	洛阳市	654.95	2321.2	35441	5235
53	贵07	毕节地区	653.64	600.85	9192	1358
54	云01	昆明市	643.2	2120.37	32966	4870
55	苏02	无锡市	637.26	5758	90355	13347
56	川11	南充市	627.86	827.82	13185	1948
57	鄂10	黄冈市	616.21	862.3	13994	2067
58	贵03	遵义市	612.7	908.76	14832	2191
59	豫15	信阳市	610.87	1092.23	17880	2641
60	浙10	台州市	596.88	2415.12	40462	5977
61	粤20	揭阳市	587.7	1008.99	17168	2536
62	云03	曲靖市	585.5	1005.5	17173	2537
63	粤16	茂名市	581.78	1492.09	25647	3789
64	鲁15	聊城市	578.99	1606.51	27747	4099
65	湘07	常德市	571.72	1491.6	26090	3854
66	豫07	新乡市	570.78	1181.45	20699	3058
67	皖01	合肥市	570.2	2702.5	47396	7001
68	鄂09	荆州市	569.17	837.1	14707	2173
69	皖09	六安市	561.2	676.1	12047	1780
70	鲁14	德州市	556.82	1657.82	29773	4398
71	鄂05	襄阳市	550.03	1538.3	27968	4131
72	鲁09	泰安市	549.42	2051.7	37343	5516
73	桂09	玉林市	548.74	835.82	15232	2250
74	湘06	岳阳市	547.79	1539.36	28101	4151
75	川15	达州市	546.81	819.2	14981	2213
76	赣09	宜春市	541.96	870	16053	2371
77	黑12	绥化市	541.64	733.4	13540	2000
78	粤04	汕头市	539.1	1203.25	22319	3297
79	黑02	齐齐哈尔市	536.7	852.6	15886	2347
80	浙07	金华市	536.16	2094.7	39069	5771
81	皖04	宿州市	535.3	650.3	12148	1795
82	皖16	安庆市	531.1	988.11	18605	2748
83	陕05	渭南市	528.61	801.42	15161	2240
84	云05	昭通市	521.3	379.62	7282	1076
85	湘11	永州市	518.02	767.01	14806	2187
86	豫05	安阳市	517.28	1311.3	25350	3745
87	晋08	运城市	513.48	827	16106	2379
88	赣01	南昌市	504.26	2207.11	43770	6466
89	浙06	绍兴市	491.22	2782.74	56650	8368
90	豫04	平顶山市	490.44	1312.1	26754	3952
91	陕04	咸阳市	489.48	1098.7	22446	3316
92	皖03	亳州市	485.1	512.78	10571	1562
93	鄂08	孝感市	481.45	800.67	16630	2457
94	赣08	吉安市	481.03	720.53	14979	2213
95	闽06	漳州市	481	1400.71	29121	4302
96	苏08	淮安市	479.99	1345.07	28023	4140
97	桂03	桂林市	474.8	1108.63	23349	3449
98	湘12	怀化市	474.19	674.92	14233	2103
99	赣04	九江市	472.88	1032.06	21825	3224
100	苏13	宿迁市	471.56	1015.21	21529	3180
101	豫02	开封市	467.62	930.22	19893	2939
102	苏12	泰州市	461.86	2002.58	43359	6405
103	川06	绵阳市	461.39	960.2	20811	3074
104	粤09	惠州市	459.7	1729.9	37631	5559
105	苏04	常州市	459.2	2976.7	64824	9576
106	湘10	郴州市	458.18	1081.8	23611	3488
107	川21	凉山州	453.28	784.19	17300	2556
108	鲁03	淄博市	453.06	2866.75	63275	9347
109	浙04	嘉兴市	450.17	2296	51003	7534
110	云07	红河州	450.1	650.42	14451	2135
111	川13	宜宾市	447.2	870.85	19473	2877
112	苏10	扬州市	445.98	2207.99	49509	7314
113	粤13	江门市	444.89	1550.37	34849	5148
114	吉02	吉林市	441.47	1800.6	40787	6025
115	苏07	连云港市	439.39	1150.81	26191	3869
116	冀10	廊坊市	435.88	1331.1	30538	4511
117	冀07	张家口市	434.55	966.12	22233	3284
118	蒙06	赤峰市	434.12	1080.18	24882	3676
